Hyperlink,URL,Title,Page Power,Size,Words,Modified,Match Words,Match Percentage,Match Pages,Match Words (with common),Match Percentage (with common),Match Pages (with common),Broken Links Out,Links Out,Links In,Skip Reason,Redirected to
https://eciru.ir/category/سیاسی/سیاست-داخلی,category/سیاسی/سیاست-داخلی,بایگانی‌های سیاست داخلی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,652,"10:21, 4 Jul, 2025",0,0%,0,447,69%,5,0,80,245,,
https://eciru.ir/category/سیاسی/بین-الملل,category/سیاسی/بین-الملل,بایگانی‌های سیاست بین الملل - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,630,"10:21, 4 Jul, 2025",167,27%,4,586,93%,12,0,78,245,,
https://eciru.ir/category/صنایع-و-معادن,category/صنایع-و-معادن,بایگانی‌های صنایع و معادن - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,100,127,637,"10:21, 4 Jul, 2025",103,16%,2,539,85%,13,0,79,245,,
https://eciru.ir/category/صنایع-و-معادن/پتروشیمی,category/صنایع-و-معادن/پتروشیمی,بایگانی‌های پتروشیمی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,119,542,"10:22, 4 Jul, 2025",32,6%,1,457,84%,7,0,71,245,,
https://eciru.ir/category/صنایع-و-معادن/نفت-و-گاز,category/صنایع-و-معادن/نفت-و-گاز,بایگانی‌های نفت و گاز - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,637,"10:22, 4 Jul, 2025",148,23%,4,570,89%,15,0,78,245,,
https://eciru.ir/category/علم-و-دانش,category/علم-و-دانش,بایگانی‌های علم و دانش - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,648,"10:22, 4 Jul, 2025",97,15%,2,564,87%,7,0,75,245,,
https://eciru.ir/category/علم-و-دانش/دانشگاه,category/علم-و-دانش/دانشگاه,بایگانی‌های اخبار دانشگاهی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,100,128,623,"10:22, 4 Jul, 2025",80,13%,1,506,81%,31,0,79,245,,
https://eciru.ir/category/علم-و-دانش/فناوری,category/علم-و-دانش/فناوری,بایگانی‌های فناوری - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,128,639,"10:22, 4 Jul, 2025",118,18%,2,556,87%,7,0,76,245,,
https://eciru.ir/category/فرهنگ-و-هنر,category/فرهنگ-و-هنر,بایگانی‌های فرهنگ و هنر - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,630,"10:22, 4 Jul, 2025",160,25%,7,574,91%,36,0,77,245,,
https://eciru.ir/category/فرهنگ-و-هنر/سینما,category/فرهنگ-و-هنر/سینما,بایگانی‌های سینما - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,613,"10:22, 4 Jul, 2025",0,0%,0,429,70%,4,0,78,245,,
https://eciru.ir/category/فرهنگ-و-هنر/سلبریتی,category/فرهنگ-و-هنر/سلبریتی,بایگانی‌های سلبریتی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,118,525,"10:22, 4 Jul, 2025",24,5%,1,456,87%,6,0,69,245,,
https://eciru.ir/category/اجتماعی,category/اجتماعی,بایگانی‌های اجتماعی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,626,"10:22, 4 Jul, 2025",89,14%,4,536,86%,8,0,72,245,,
https://eciru.ir/category/اجتماعی/توریسم-و-گردشگری,category/اجتماعی/توریسم-و-گردشگری,بایگانی‌های توریسم و گردشگری - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,100,128,640,"10:22, 4 Jul, 2025",58,9%,3,491,77%,9,0,78,245,,
https://eciru.ir/category/ورزشی,category/ورزشی,بایگانی‌های ورزشی - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,126,610,"10:22, 4 Jul, 2025",25,4%,1,444,73%,7,0,79,245,,
https://eciru.ir/category/خبر-فوری,category/خبر-فوری,بایگانی‌های خبر فوری - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,126,619,"10:22, 4 Jul, 2025",19,3%,1,471,76%,7,0,80,245,,
https://eciru.ir/category/نگاه-ویژه,category/نگاه-ویژه,بایگانی‌های نگاه ویژه - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,114,501,"10:22, 4 Jul, 2025",16,3%,1,456,91%,36,0,68,245,,
https://eciru.ir/category/پادکست,category/پادکست,https://eciru.ir/category/گوناگون/چند-رسانه-ای/پادکست,51,0,0,"00:00, 1 Jan, 1970",0,0%,0,0,0%,0,0,0,246,Canonical ,https://eciru.ir/category/گوناگون/چند-رسانه-ای/پادکست
https://eciru.ir/category/رپورتاژ-خبری,category/رپورتاژ-خبری,بایگانی‌های رپورتاژ خبری - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,127,619,"10:22, 4 Jul, 2025",96,16%,2,501,81%,28,0,78,245,,
https://eciru.ir/category/تبلیغات,category/تبلیغات,بایگانی‌های تبلیغات - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,116,502,"10:22, 4 Jul, 2025",0,0%,0,436,87%,8,0,69,245,,
https://eciru.ir/تویوتا-bz-2026-معرفی-شد,تویوتا-bz-2026-معرفی-شد,تویوتا bZ 2026 معرفی شد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,196,"2,291","10:22, 4 Jul, 2025",0,0%,0,"1,179",51%,7,0,99,245,,
https://eciru.ir/جزئیات-بسته-ویژه-ایرانسل-به-مناسبت-روز,جزئیات-بسته-ویژه-ایرانسل-به-مناسبت-روز,جزئیات بسته ویژه ایرانسل به مناسبت روز جهانی ارتباطات اعلام شد - پایروس نیوز - پایگاه خبری اقتصاد ایران و روسیه,50,194,"1,776","10:22, 4 Jul, 2025",15,1%,1,"1,190",67%,9,0,99,245,,
